word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	uninhabited	43	99	160	116
5	and	167	99	202	116
6	hostile,	209	99	279	119
7	or	288	105	307	116
8	at	315	102	331	116
9	best	338	99	377	116
10	indifferent,	385	99	490	119
11	part	498	102	537	122
12	of	544	99	566	116
13	the	569	99	599	116
14	earth,	607	99	660	119
15	littered	669	99	738	116
16	with	745	99	788	116
17	the	794	99	824	116
18	bones	43	156	100	174
19	of	108	156	130	174
20	explorers	134	157	223	179
21	and	231	156	266	174
22	the	273	156	302	174
23	wrecks	309	157	376	174
24	of	384	156	406	174
25	ships,	410	156	463	179
26	frozen	472	156	533	174
27	supply	540	156	605	179
28	caches,	612	156	681	177
29	messages	689	163	776	179
30	scrawled	44	214	129	231
31	with	136	214	179	231
32	chilled	186	214	253	231
33	fingers	260	214	323	237
34	and	331	214	366	231
35	hidden	372	214	440	231
36	in	447	214	465	231
37	cairns	472	220	528	231
38	that	535	214	572	231
39	no	579	220	604	231
40	eye	611	220	643	237
41	will	650	214	687	231
42	ever	695	220	735	231
43	see.	742	220	775	231
44	Nobody	784	214	863	237
45	has	43	272	75	289
46	succeeded	83	272	182	289
47	in	190	278	208	289
48	this	214	272	248	289
49	thing,	256	272	309	294
50	and	318	272	353	289
51	many	360	278	413	294
52	have	419	272	463	289
53	died.	471	272	516	289
54	Yet	527	272	560	289
55	in	567	278	585	289
56	freely	593	272	647	294
57	willing	654	272	721	294
58	this	728	272	762	289
59	enterprise,	44	329	144	352
60	in	153	335	171	346
61	choosing	178	329	265	352
62	this	271	329	305	346
63	moment	312	332	390	346
64	and	398	329	433	346
65	no	440	335	464	346
66	other	472	329	522	346
67	when	529	329	582	346
68	the	589	329	618	346
69	south	626	329	679	346
70	wind	686	329	734	346
71	will	740	329	777	346
72	carry	785	335	833	352
73	me	43	393	71	404
74	exactly	79	387	148	409
75	northward	155	387	256	404
76	at	263	389	280	404
77	a	288	393	297	404
78	velocity	304	387	381	409
79	of	388	387	410	404
80	eight	414	387	461	409
81	knots,	468	387	525	407
82	I	533	388	540	404
83	have	547	387	591	404
84	converted	599	387	694	404
85	the	701	387	730	404
86	machinery	737	387	839	409
87	of	846	387	868	404
88	my	43	451	72	467
89	fate	80	444	114	462
90	into	123	444	159	462
91	the	167	444	196	462
92	servant	204	447	272	462
93	of	280	444	301	462
94	my	305	451	334	467
95	will.	341	444	382	462
96	All	114	502	145	519
97	this	152	502	186	519
98	I	197	503	201	519
99	understand,	207	502	320	522
100	as	329	508	347	519
101	I	358	503	362	519
102	understand	368	502	476	519
103	each	484	502	528	519
104	detail	535	502	588	519
105	of	596	502	618	519
106	the	622	502	651	519
107	technique	659	502	754	525
108	by	761	502	785	525
109	which	791	502	851	519
110	this	43	559	77	577
111	is	86	559	99	577
112	carried	107	559	173	577
113	out.	181	562	216	577
114	What	225	559	278	577
115	I	284	560	291	577
116	don’t	298	559	350	577
117	understand	357	559	466	577
118	is	473	566	487	577
119	why	494	559	535	582
120	I	541	560	584	577
121	am	591	566	611	577
122	so	619	562	674	577
123	intent	682	566	706	577
124	on	712	559	765	582
125	going	772	562	791	577
126	to	798	559	832	577
127	this	33	648	116	665
128	Previous	123	654	167	670
129	page	764	644	811	678
130	Next	814	653	862	686
131	page	0	0	0	0
