word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,412,438,456,question-northpole-5.png,True
2,5.,457,414,498,454,question-northpole-5.png,True
3,The,519,413,616,454,question-northpole-5.png,True
4,question,634,413,861,465,question-northpole-5.png,True
5,the,880,413,961,454,question-northpole-5.png,True
6,narrator,982,415,1190,454,question-northpole-5.png,True
7,asks,1208,413,1328,454,question-northpole-5.png,True
8,“Will,1349,413,1468,453,question-northpole-5.png,True
9,it,1491,413,1520,453,question-northpole-5.png,True
10,carry,1538,422,1671,465,question-northpole-5.png,True
11,you,1689,422,1783,465,question-northpole-5.png,True
12,from,1803,413,1922,454,question-northpole-5.png,True
13,Gothenburg,205,613,246,664,question-northpole-5.png,True
14,to,268,613,470,654,question-northpole-5.png,True
15,Malmö,488,613,560,653,question-northpole-5.png,True
16,like,583,622,717,654,question-northpole-5.png,True
17,a,737,613,915,665,question-northpole-5.png,True
18,railway?”,934,613,1057,654,question-northpole-5.png,True
19,most,1077,613,1239,654,question-northpole-5.png,True
20,nearly,1258,613,1301,654,question-northpole-5.png,True
21,implies,1318,613,1668,665,question-northpole-5.png,True
22,that,202,746,246,797,question-northpole-5.png,True
23,1),265,746,340,787,question-northpole-5.png,False
24,balloons,361,746,489,787,question-northpole-5.png,False
25,will,513,746,618,787,question-northpole-5.png,False
26,never,638,746,674,787,question-northpole-5.png,False
27,replace,691,746,850,787,question-northpole-5.png,False
28,other,869,755,995,798,question-northpole-5.png,False
29,modes,1012,746,1116,787,question-northpole-5.png,False
30,of,1136,746,1211,787,question-northpole-5.png,False
31,transportation.,1230,746,1353,787,question-northpole-5.png,False
32,2),1373,746,1542,798,question-northpole-5.png,False
33,the,1562,746,1756,787,question-northpole-5.png,False
34,North,1778,746,1832,798,question-northpole-5.png,False
35,Pole,201,946,246,997,question-northpole-5.png,False
36,is,268,946,430,998,question-northpole-5.png,False
37,farther,449,946,567,987,question-northpole-5.png,False
38,away,586,946,718,987,question-northpole-5.png,False
39,than,737,946,844,987,question-northpole-5.png,False
40,the,866,955,955,987,question-northpole-5.png,False
41,cities,974,946,1054,998,question-northpole-5.png,False
42,usually,1071,948,1115,987,question-northpole-5.png,False
43,reached,1135,946,1320,987,question-northpole-5.png,False
44,by,1337,946,1511,987,question-northpole-5.png,False
45,train.,1530,946,1808,998,question-northpole-5.png,False
46,3),1828,946,1903,987,question-northpole-5.png,False
47,people,201,1146,246,1197,question-northpole-5.png,False
48,often,268,1146,474,1198,question-northpole-5.png,False
49,travel,493,1146,569,1187,question-northpole-5.png,False
50,from,590,1146,718,1187,question-northpole-5.png,False
51,one,741,1146,847,1187,question-northpole-5.png,False
52,city,867,1146,952,1187,question-northpole-5.png,False
53,to,972,1155,1029,1187,question-northpole-5.png,False
54,another,1046,1146,1335,1187,question-northpole-5.png,False
55,without,1355,1146,1517,1187,question-northpole-5.png,False
56,considering,1534,1148,1579,1187,question-northpole-5.png,False
57,the,1599,1146,1827,1198,question-northpole-5.png,False
58,implications.,202,478,515,531,question-northpole-5.png,False
59,4),534,481,584,520,question-northpole-5.png,False
60,reaching,605,479,775,520,question-northpole-5.png,False
61,the,797,479,884,520,question-northpole-5.png,False
62,North,903,488,931,520,question-northpole-5.png,False
63,Pole,951,479,1194,531,question-northpole-5.png,False
64,has,1217,481,1345,520,question-northpole-5.png,False
65,no,1365,479,1523,531,question-northpole-5.png,False
66,foreseeable,1544,479,1729,531,question-northpole-5.png,False
67,benefit,1748,479,1848,520,question-northpole-5.png,False
68,to,200,813,318,854,question-northpole-5.png,False
69,humanity.,203,1013,500,1065,question-northpole-5.png,False
