word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	We	108	100	140	116
5	can	148	105	182	116
6	look	189	99	232	116
7	at	239	102	255	116
8	this	263	99	297	116
9	system	305	102	370	122
10	as	377	105	395	116
11	analogous	403	99	500	122
12	to	507	102	526	116
13	short-term	534	99	635	116
14	memory.	641	105	724	122
15	First,	733	99	782	119
16	the	790	99	819	116
17	flytrap	44	156	107	179
18	encodes	115	156	193	174
19	the	200	156	229	174
20	information	238	156	351	174
21	(forms	358	156	419	178
22	the	427	156	456	174
23	memory)	463	157	550	179
24	that	557	156	594	174
25	something	602	156	701	179
26	(it	708	157	728	178
27	doesn’t	736	156	807	174
28	know	814	156	868	174
29	what)	43	214	98	235
30	has	105	214	137	231
31	touched	144	214	223	231
32	one	230	220	264	231
33	of	272	214	294	231
34	its	299	214	319	231
35	hairs.	326	214	377	231
36	Then	387	214	436	231
37	it	443	214	456	231
38	stores	463	217	518	231
39	this	526	214	559	231
40	information	568	214	681	231
41	for	688	214	715	231
42	a	722	220	731	231
43	number	738	214	813	231
44	of	820	214	842	231
45	seconds	44	272	120	289
46	(retains	128	272	199	293
47	the	206	272	236	289
48	memory)	243	272	329	294
49	and	337	272	372	289
50	finally	379	272	441	294
51	retrieves	448	275	529	289
52	this	536	272	570	289
53	information	578	272	692	289
54	(recalls	699	272	769	293
55	the	776	272	806	289
56	memory)	43	329	130	352
57	once	137	335	183	346
58	a	191	335	200	346
59	second	208	329	275	346
60	hair	282	329	319	346
61	is	327	329	340	346
62	touched.	348	329	426	346
63	If	439	329	469	346
64	a	477	329	528	346
65	small	536	332	565	346
66	ant	572	329	621	346
67	takes	629	335	638	346
68	a	645	329	698	346
69	while	706	332	724	346
70	to	731	332	759	352
71	get	767	329	812	346
72	from	819	335	854	346
73	one	43	387	81	404
74	hair	87	389	106	404
75	to	113	387	143	404
76	the	150	389	197	407
77	next,	205	387	235	404
78	the	242	390	280	409
79	trap	287	387	324	404
80	will	331	387	375	404
81	have	383	387	471	409
82	forgotten	478	387	507	404
83	the	515	387	552	404
84	first	559	387	614	404
85	touch	621	387	645	409
86	by	651	387	681	404
87	the	688	387	729	404
88	time	737	387	766	404
89	the	774	390	804	404
90	ant	43	444	117	462
91	brushes	124	451	149	467
92	up	156	447	223	467
93	against	230	444	259	462
94	the	266	447	308	462
95	next	315	444	356	462
96	hair.	365	445	385	462
97	In	392	444	442	462
98	other	449	444	513	465
99	words,	522	444	534	462
100	it	541	444	588	462
101	loses	596	444	625	462
102	the	633	447	701	467
103	storage	709	444	730	462
104	of	734	444	764	462
105	the	44	502	162	522
106	information,	171	502	242	519
107	doesn’t	250	502	304	522
108	close,	313	502	348	519
109	and	355	502	384	519
110	the	392	505	421	519
111	ant	428	502	502	525
112	happily	508	502	600	519
113	meanders	608	508	636	519
114	on.	645	503	691	519
115	How	699	502	742	519
116	does	749	502	779	519
117	the	786	502	835	525
118	plant	44	560	113	577
119	encode	120	559	155	577
120	and	163	563	209	577
121	store	216	560	246	577
122	the	254	559	367	577
123	information	374	559	419	577
124	from	426	559	455	577
125	the	462	559	577	582
126	unassuming	583	559	635	582
127	bug’s	643	562	740	577
128	encounter	746	559	790	577
129	with	796	560	826	577
130	the	33	648	116	665
131	Previous	123	654	167	670
132	page	764	644	815	674
133	Next	817	643	864	690
134	page	0	0	0	0
