word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	medicine	43	99	130	116
5	by	138	99	162	122
6	the	168	99	198	116
7	bucketful.	205	99	301	116
8	Throughout	109	156	224	179
9	the	230	156	260	174
10	1980s	269	157	326	174
11	and	334	156	369	174
12	’90s,	377	157	422	177
13	studies	431	156	497	174
14	provided	504	156	590	179
15	proof	596	156	652	179
16	of	656	156	678	174
17	principle,	682	156	773	179
18	as	782	163	800	174
19	scientists	44	217	130	231
20	created	138	214	208	231
21	transgenic	215	214	313	237
22	mice,	320	214	371	234
23	sheep,	379	214	439	237
24	goats,	447	217	502	237
25	pigs,	510	214	553	237
26	cattle,	562	214	620	234
27	and	629	214	664	231
28	rabbits	670	214	736	231
29	that	743	214	780	231
30	did	788	214	818	231
31	in	826	214	843	231
32	fact	44	272	79	289
33	make	85	272	136	289
34	therapeutic	143	272	252	294
35	compounds	260	272	372	294
36	in	379	278	398	289
37	their	404	272	449	289
38	milk.	455	272	502	289
39	At	511	273	535	289
40	first,	542	272	584	291
41	this	592	272	626	289
42	work	633	272	683	289
43	was	689	278	725	289
44	merely	732	272	798	294
45	gee-	805	278	845	294
46	whiz,	43	329	95	349
47	scientific	103	329	189	346
48	geekery,	196	329	275	352
49	lab-bound	284	329	385	346
50	thought	392	329	466	352
51	experiments	474	332	590	352
52	come	598	335	648	346
53	true.	656	332	693	346
54	That	708	329	751	346
55	all	759	329	782	346
56	changed	44	387	124	409
57	with	130	387	174	404
58	ATryn,	180	388	248	409
59	a	257	393	266	404
60	drug	274	387	318	409
61	produced	324	387	416	409
62	by	423	387	447	409
63	the	453	387	483	404
64	Massachusetts	490	387	630	404
65	firm	638	387	676	404
66	GTC	683	388	729	404
67	Biotherapeutics.	43	444	201	467
68	ATryn	210	445	273	467
69	is	281	444	294	462
70	antithrombin,	302	444	433	465
71	an	441	451	464	462
72	anticoagulant	471	444	602	467
73	that	609	444	646	462
74	can	654	451	687	462
75	be	693	444	716	462
76	used	723	444	768	462
77	to	775	447	793	462
78	prevent	43	505	116	525
79	life-threatening	123	502	272	525
80	blood	278	502	335	519
81	clots.	343	502	392	519
82	The	402	502	438	519
83	compound,	446	502	554	525
84	made	562	502	613	519
85	by	621	502	645	525
86	our	652	508	684	519
87	liver	691	502	734	519
88	cells,	741	502	790	522
89	plays	798	502	848	525
90	a	856	508	865	519
91	key	43	559	77	582
92	role	84	559	122	577
93	in	130	559	147	577
94	keeping	154	559	229	582
95	our	236	566	269	577
96	bodies	275	559	338	577
97	clot-free.	346	559	432	577
98	It	441	560	455	577
99	acts	462	562	498	577
100	as	506	566	524	577
101	a	537	566	541	577
102	molecular	549	559	647	577
103	bouncer,	653	559	738	579
104	sidling	746	559	810	582
105	up	817	566	841	582
106	to	848	562	867	577
107	Previous	33	648	116	665
108	page	123	654	167	670
109	Next	764	648	811	673
110	page	817	653	862	669
