word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,412,438,456,question-genome-2.png,True
2,2.,458,413,498,453,question-genome-2.png,True
3,The,519,413,616,454,question-genome-2.png,True
4,author’s,634,413,849,454,question-genome-2.png,True
5,attitude,869,413,1066,454,question-genome-2.png,True
6,toward,1084,413,1262,454,question-genome-2.png,True
7,pharming,1284,413,1530,465,question-genome-2.png,True
8,is,1553,413,1593,454,question-genome-2.png,True
9,best,1615,413,1724,454,question-genome-2.png,True
10,described,205,613,246,664,question-genome-2.png,True
11,as,267,613,612,665,question-genome-2.png,True
12,one,201,1013,246,1064,question-genome-2.png,True
13,of,267,1013,605,1054,question-genome-2.png,True
14,apprehension.,202,479,459,520,question-genome-2.png,True
15,2),480,488,538,520,question-genome-2.png,False
16,ambivalence.,557,488,653,520,question-genome-2.png,False
17,3),671,479,721,520,question-genome-2.png,False
18,appreciation.,202,746,246,797,question-genome-2.png,False
19,4),267,746,587,787,question-genome-2.png,False
20,astonishment.,201,879,246,930,question-genome-2.png,False
