word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,412,438,456,question-genome-3.png,True
2,3.,457,413,498,454,question-genome-3.png,True
3,What,518,413,653,454,question-genome-3.png,True
4,does,671,413,797,454,question-genome-3.png,True
5,the,815,413,897,454,question-genome-3.png,True
6,author,915,413,1085,454,question-genome-3.png,True
7,suggest,1103,415,1314,465,question-genome-3.png,True
8,about,1332,413,1480,454,question-genome-3.png,True
9,the,1497,413,1579,454,question-genome-3.png,True
10,transgenic,1596,413,1874,465,question-genome-3.png,True
11,studies,205,613,246,664,question-genome-3.png,True
12,done,265,613,386,665,question-genome-3.png,True
13,in,404,622,521,654,question-genome-3.png,True
14,the,542,613,695,654,question-genome-3.png,True
15,1980s,718,613,772,665,question-genome-3.png,True
16,and,789,613,864,654,question-genome-3.png,True
17,1990s?,883,613,1130,665,question-genome-3.png,True
18,They,1150,615,1303,654,question-genome-3.png,False
19,were,1322,613,1365,654,question-genome-3.png,False
20,limited,1384,613,1541,654,question-genome-3.png,False
21,by,1564,613,1787,654,question-genome-3.png,False
22,the,201,879,246,930,question-genome-3.png,False
23,expensive,265,879,386,931,question-genome-3.png,False
24,nature,404,888,521,920,question-genome-3.png,False
25,of,541,879,791,931,question-genome-3.png,False
26,animal,811,879,939,920,question-genome-3.png,False
27,research.,961,888,1017,920,question-genome-3.png,False
28,2),1038,879,1365,931,question-genome-3.png,False
29,They,1384,879,1637,931,question-genome-3.png,False
30,were,1658,888,1754,920,question-genome-3.png,False
31,not,201,1079,246,1130,question-genome-3.png,False
32,expected,265,1079,386,1131,question-genome-3.png,False
33,to,403,1079,593,1120,question-genome-3.png,False
34,yield,615,1079,713,1131,question-genome-3.png,False
35,products,732,1088,788,1120,question-genome-3.png,False
36,ready,807,1079,883,1120,question-genome-3.png,False
37,for,903,1079,1139,1120,question-genome-3.png,False
38,human,1159,1079,1402,1131,question-genome-3.png,False
39,use.,1421,1079,1464,1120,question-genome-3.png,False
40,3),1483,1088,1617,1127,question-genome-3.png,False
41,They,1639,1081,1784,1131,question-genome-3.png,False
42,were,1807,1079,1894,1120,question-genome-3.png,False
43,completed,202,479,393,520,question-genome-3.png,False
44,when,412,479,542,520,question-genome-3.png,False
45,an,562,479,604,519,question-genome-3.png,False
46,anticoagulant,624,479,705,520,question-genome-3.png,False
47,compound,726,479,874,520,question-genome-3.png,False
48,was,894,479,987,520,question-genome-3.png,False
49,identified.,1010,479,1191,520,question-genome-3.png,False
50,4),202,746,246,797,question-genome-3.png,False
51,They,265,746,386,798,question-genome-3.png,False
52,focused,404,755,521,787,question-genome-3.png,False
53,only,542,748,614,787,question-genome-3.png,False
54,on,633,746,853,798,question-genome-3.png,False
55,the,872,748,917,787,question-genome-3.png,False
56,molecular,935,746,1044,798,question-genome-3.png,False
57,properties,1067,746,1275,798,question-genome-3.png,False
58,of,1295,746,1429,798,question-genome-3.png,False
59,"cows,",1447,746,1510,787,question-genome-3.png,False
60,"goats,",1530,746,1693,787,question-genome-3.png,False
61,and,1715,755,1812,787,question-genome-3.png,False
62,sheep.,203,946,432,987,question-genome-3.png,False
