word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,412,438,456,question-northpole-1.png,True
2,1.,460,414,498,453,question-northpole-1.png,True
3,Over,521,412,644,454,question-northpole-1.png,True
4,the,661,413,742,454,question-northpole-1.png,True
5,course,761,422,940,454,question-northpole-1.png,True
6,of,958,413,1008,454,question-northpole-1.png,True
7,the,1025,413,1107,454,question-northpole-1.png,True
8,"passage,",1127,422,1356,465,question-northpole-1.png,True
9,the,1377,413,1459,454,question-northpole-1.png,True
10,narrator’s,1479,413,1733,454,question-northpole-1.png,True
11,attitude,205,613,246,664,question-northpole-1.png,True
12,shifts,265,613,359,654,question-northpole-1.png,True
13,from,378,613,514,654,question-northpole-1.png,True
14,fear,530,613,606,654,question-northpole-1.png,True
15,about,625,613,873,665,question-northpole-1.png,True
16,the,892,615,936,654,question-northpole-1.png,True
17,expedition,956,613,1221,654,question-northpole-1.png,True
18,to,1240,613,1375,654,question-northpole-1.png,True
19,excitement,1395,613,1430,653,question-northpole-1.png,True
20,about,201,1013,246,1064,question-northpole-1.png,False
21,it.,266,1013,437,1054,question-northpole-1.png,False
22,2),456,1013,520,1054,question-northpole-1.png,False
23,doubt,537,1013,612,1054,question-northpole-1.png,False
24,about,633,1013,761,1054,question-northpole-1.png,False
25,his,785,1013,890,1054,question-northpole-1.png,False
26,abilities,907,1015,952,1054,question-northpole-1.png,False
27,to,971,1013,1268,1065,question-northpole-1.png,False
28,confidence,1289,1013,1332,1054,question-northpole-1.png,False
29,in,1352,1013,1387,1053,question-northpole-1.png,False
30,them.,202,479,400,520,question-northpole-1.png,False
31,3),418,479,562,520,question-northpole-1.png,False
32,uncertainty,581,479,700,520,question-northpole-1.png,False
33,of,202,746,246,797,question-northpole-1.png,False
34,his,266,746,402,787,question-northpole-1.png,False
35,motives,421,746,557,787,question-northpole-1.png,False
36,to,577,746,643,787,question-northpole-1.png,False
37,recognition,662,746,844,787,question-northpole-1.png,False
38,of,861,748,905,787,question-northpole-1.png,False
39,them.,925,746,1190,787,question-northpole-1.png,False
40,4),1210,746,1246,786,question-northpole-1.png,False
41,disdain,1266,746,1399,787,question-northpole-1.png,False
42,for,201,879,246,930,question-northpole-1.png,False
43,the,268,879,535,931,question-northpole-1.png,False
44,North,554,879,597,920,question-northpole-1.png,False
45,Pole,617,879,683,920,question-northpole-1.png,False
46,to,703,879,890,920,question-northpole-1.png,False
47,appreciation,907,881,952,920,question-northpole-1.png,False
48,of,972,879,1237,931,question-northpole-1.png,False
49,it.,1258,879,1301,920,question-northpole-1.png,False
