word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	particular	43	99	138	122
5	place.	144	99	200	122
6	Who	209	99	256	116
7	wants	263	102	318	116
8	the	326	99	355	116
9	North	362	99	420	116
10	Pole!	426	99	475	116
11	What	484	99	537	116
12	good	543	99	592	122
13	is	599	99	613	116
14	it!	621	99	638	116
15	Can	647	100	686	116
16	you	692	105	729	122
17	eat	736	102	763	116
18	it?	772	99	794	116
19	Will	802	99	844	116
20	it	852	99	864	116
21	carry	44	163	92	179
22	you	99	163	136	179
23	from	143	156	188	174
24	Gothenburg	195	157	311	179
25	to	318	159	336	174
26	Malmö	344	156	413	174
27	like	421	156	455	174
28	a	463	163	473	174
29	railway?	479	156	561	179
30	The	569	156	605	174
31	Danish	613	156	681	174
32	ministers	687	156	774	174
33	have	781	156	825	174
34	declared	44	214	127	231
35	from	134	214	179	231
36	their	186	214	230	231
37	pulpits	237	214	303	237
38	that	311	214	348	231
39	participation	354	214	478	237
40	in	486	214	504	231
41	polar	510	214	561	237
42	expeditions	568	214	679	237
43	is	687	214	701	231
44	beneficial	708	214	802	231
45	to	810	217	828	231
46	the	836	214	865	231
47	soul’s	44	272	101	289
48	eternal	109	272	175	289
49	well-being,	182	272	290	294
50	or	298	278	318	289
51	so	325	278	345	289
52	I	352	272	360	289
53	read	366	272	408	289
54	in	415	278	434	289
55	a	441	278	450	289
56	newspaper.	457	278	565	294
57	It	574	272	588	289
58	isn’t	595	272	637	289
59	clear	645	272	691	289
60	how	698	272	740	289
61	this	747	272	781	289
62	doctrine	44	329	123	346
63	is	131	329	145	346
64	to	152	332	171	346
65	be	178	329	201	346
66	interpreted,	209	329	319	352
67	except	328	332	390	352
68	that	398	329	434	346
69	the	442	329	471	346
70	Pole	479	329	522	346
71	is	530	335	543	346
72	something	551	329	650	352
73	difficult	657	329	733	346
74	or	741	335	761	346
75	impossible	44	387	147	409
76	to	154	390	173	404
77	attain	181	390	235	404
78	which	241	387	300	404
79	must	307	389	353	404
80	nevertheless	360	387	479	404
81	be	486	387	508	404
82	sought	516	387	580	409
83	for,	587	387	619	407
84	because	627	387	703	404
85	man	711	393	752	404
86	is	759	387	773	404
87	condemned	44	444	156	462
88	to	163	447	182	462
89	seek	190	444	231	462
90	out	238	447	269	462
91	and	277	444	312	462
92	know	318	444	372	462
93	everything	379	444	480	467
94	whether	487	444	566	462
95	or	573	451	593	462
96	not	599	447	631	462
97	the	638	444	667	462
98	knowledge	675	444	780	467
99	gives	787	444	834	467
100	him	43	502	80	519
101	pleasure.	86	502	172	525
102	In	181	503	201	519
103	short,	208	502	261	522
104	it	270	505	281	519
105	is	290	502	303	519
106	the	311	502	340	519
107	same	348	508	395	519
108	unthinking	402	502	507	525
109	lust	514	502	548	519
110	for	557	502	584	519
111	knowledge	590	502	695	525
112	that	703	502	740	519
113	drove	747	502	800	519
114	our	808	508	841	519
115	First	43	559	87	577
116	Parents	94	560	165	577
117	out	173	562	204	577
118	of	211	559	266	577
119	the	273	559	343	582
120	garden.	33	648	116	665
121	Previous	123	654	167	670
122	page	764	648	811	664
123	Next	817	653	880	674
124	page	0	0	0	0
