word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,345,438,389,question-flytrap-1.png,True
2,1.,460,347,498,386,question-flytrap-1.png,True
3,The,519,346,616,387,question-flytrap-1.png,True
4,primary,636,346,835,398,question-flytrap-1.png,True
5,purpose,855,355,1070,398,question-flytrap-1.png,True
6,of,1088,346,1138,387,question-flytrap-1.png,True
7,the,1155,346,1236,387,question-flytrap-1.png,True
8,passage,1257,355,1474,398,question-flytrap-1.png,True
9,is,1494,346,1535,387,question-flytrap-1.png,True
10,to,1553,348,1603,387,question-flytrap-1.png,True
11,1),205,479,246,530,question-flytrap-1.png,False
12,discuss,266,479,448,520,question-flytrap-1.png,False
13,findings,466,479,655,531,question-flytrap-1.png,False
14,that,672,479,764,520,question-flytrap-1.png,False
15,offer,783,479,889,520,question-flytrap-1.png,False
16,a,908,488,935,520,question-flytrap-1.png,False
17,scientific,955,479,1165,520,question-flytrap-1.png,False
18,explanation,1183,479,1461,531,question-flytrap-1.png,False
19,for,1481,479,1544,520,question-flytrap-1.png,False
20,the,1561,479,1636,520,question-flytrap-1.png,False
21,Venus,1656,479,1806,520,question-flytrap-1.png,False
22,2),202,679,246,730,question-flytrap-1.png,False
23,present,268,681,449,731,question-flytrap-1.png,False
24,research,469,679,678,720,question-flytrap-1.png,False
25,that,697,679,788,720,question-flytrap-1.png,False
26,suggests,807,681,1026,731,question-flytrap-1.png,False
27,that,1043,679,1134,720,question-flytrap-1.png,False
28,the,1151,679,1226,720,question-flytrap-1.png,False
29,Venus,1246,679,1397,720,question-flytrap-1.png,False
30,flytrap’s,1414,679,1602,731,question-flytrap-1.png,False
31,predatory,1623,679,1853,731,question-flytrap-1.png,False
32,3),201,879,246,930,question-flytrap-1.png,False
33,identify,268,879,439,931,question-flytrap-1.png,False
34,the,456,879,532,920,question-flytrap-1.png,False
35,process,552,888,742,931,question-flytrap-1.png,False
36,by,762,879,816,931,question-flytrap-1.png,False
37,which,834,879,971,920,question-flytrap-1.png,False
38,the,991,879,1066,920,question-flytrap-1.png,False
39,Venus,1085,879,1236,920,question-flytrap-1.png,False
40,flytrap’s,1253,879,1442,931,question-flytrap-1.png,False
41,closing,1461,879,1628,931,question-flytrap-1.png,False
42,action,1649,879,1792,920,question-flytrap-1.png,False
43,has,1814,879,1899,920,question-flytrap-1.png,False
44,4),201,1079,246,1130,question-flytrap-1.png,False
45,provide,268,1079,445,1131,question-flytrap-1.png,False
46,a,457,1075,477,1135,question-flytrap-1.png,False
47,brief,512,1079,615,1120,question-flytrap-1.png,False
48,overview,634,1079,849,1120,question-flytrap-1.png,False
49,of,869,1079,912,1120,question-flytrap-1.png,False
50,the,929,1079,1004,1120,question-flytrap-1.png,False
51,Venus,1023,1079,1174,1120,question-flytrap-1.png,False
52,flytrap,1191,1079,1341,1131,question-flytrap-1.png,False
53,and,1360,1079,1447,1120,question-flytrap-1.png,False
54,its,1469,1079,1520,1120,question-flytrap-1.png,False
55,predatory,1540,1079,1770,1131,question-flytrap-1.png,False
56,flytrap’s,200,546,389,598,question-flytrap-1.png,False
57,closing,408,546,575,598,question-flytrap-1.png,False
58,action.,596,546,752,587,question-flytrap-1.png,False
59,behavior,203,746,412,787,question-flytrap-1.png,False
60,is,432,746,467,787,question-flytrap-1.png,False
61,both,487,746,588,787,question-flytrap-1.png,False
62,complex,610,746,814,798,question-flytrap-1.png,False
63,and,832,746,919,787,question-flytrap-1.png,False
64,unique,941,746,1103,798,question-flytrap-1.png,False
65,among,1122,755,1286,798,question-flytrap-1.png,False
66,plants.,1309,746,1464,798,question-flytrap-1.png,False
67,evolved,202,946,388,987,question-flytrap-1.png,False
68,behavior.,203,1146,420,1187,question-flytrap-1.png,False
