word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,278,438,322,question-flytrap-3.png,True
2,3.,457,279,498,320,question-flytrap-3.png,True
3,According,516,279,788,331,question-flytrap-3.png,True
4,to,807,281,857,320,question-flytrap-3.png,True
5,the,875,279,956,320,question-flytrap-3.png,True
6,"passage,",977,288,1206,331,question-flytrap-3.png,True
7,which,1226,279,1380,320,question-flytrap-3.png,True
8,statement,1401,281,1661,320,question-flytrap-3.png,True
9,best,1681,279,1790,320,question-flytrap-3.png,True
10,1),205,613,246,664,question-flytrap-3.png,False
11,The,265,613,358,654,question-flytrap-3.png,False
12,second,377,613,550,654,question-flytrap-3.png,False
13,trigger,570,613,726,665,question-flytrap-3.png,False
14,produces,746,613,969,665,question-flytrap-3.png,False
15,an,989,622,1044,654,question-flytrap-3.png,False
16,electrical,1066,613,1279,654,question-flytrap-3.png,False
17,charge,1300,613,1466,665,question-flytrap-3.png,False
18,that,1484,613,1575,654,question-flytrap-3.png,False
19,reverses,1595,622,1803,654,question-flytrap-3.png,False
20,the,1820,613,1896,654,question-flytrap-3.png,False
21,2),202,813,246,864,question-flytrap-3.png,False
22,The,265,813,358,854,question-flytrap-3.png,False
23,second,377,813,550,854,question-flytrap-3.png,False
24,trigger,570,813,726,865,question-flytrap-3.png,False
25,stabilizes,745,813,969,854,question-flytrap-3.png,False
26,the,986,813,1062,854,question-flytrap-3.png,False
27,surge,1081,822,1216,865,question-flytrap-3.png,False
28,of,1236,813,1278,854,question-flytrap-3.png,False
29,calcium,1297,813,1479,854,question-flytrap-3.png,False
30,ions,1502,813,1599,854,question-flytrap-3.png,False
31,created,1618,813,1798,854,question-flytrap-3.png,False
32,by,1820,813,1874,865,question-flytrap-3.png,False
33,3),201,1013,246,1064,question-flytrap-3.png,False
34,The,265,1013,358,1054,question-flytrap-3.png,False
35,second,377,1013,550,1054,question-flytrap-3.png,False
36,trigger,570,1013,726,1065,question-flytrap-3.png,False
37,prompts,746,1015,941,1065,question-flytrap-3.png,False
38,the,959,1013,1034,1054,question-flytrap-3.png,False
39,calcium,1053,1013,1235,1054,question-flytrap-3.png,False
40,channels,1257,1013,1476,1054,question-flytrap-3.png,False
41,to,1493,1015,1537,1054,question-flytrap-3.png,False
42,open.,1557,1022,1688,1065,question-flytrap-3.png,False
43,4),201,1146,246,1197,question-flytrap-3.png,False
44,The,265,1146,358,1187,question-flytrap-3.png,False
45,second,377,1146,550,1187,question-flytrap-3.png,False
46,trigger,570,1146,726,1198,question-flytrap-3.png,False
47,provides,746,1146,951,1198,question-flytrap-3.png,False
48,a,970,1155,997,1187,question-flytrap-3.png,False
49,necessary,1017,1155,1266,1198,question-flytrap-3.png,False
50,supplement,1285,1146,1569,1198,question-flytrap-3.png,False
51,to,1586,1148,1630,1187,question-flytrap-3.png,False
52,the,1647,1146,1723,1187,question-flytrap-3.png,False
53,calcium,1742,1146,1924,1187,question-flytrap-3.png,False
54,explains,201,346,420,398,question-flytrap-3.png,False
55,why,438,346,545,398,question-flytrap-3.png,False
56,the,562,346,644,387,question-flytrap-3.png,False
57,Venus,660,346,822,387,question-flytrap-3.png,False
58,flytrap,840,346,1008,398,question-flytrap-3.png,False
59,requires,1028,346,1242,398,question-flytrap-3.png,False
60,a,1261,355,1289,387,question-flytrap-3.png,False
61,second,1307,346,1497,387,question-flytrap-3.png,False
62,trigger,1516,346,1691,398,question-flytrap-3.png,False
63,hair,1711,346,1808,387,question-flytrap-3.png,False
64,to,1825,348,1874,387,question-flytrap-3.png,False
65,charge,202,679,368,731,question-flytrap-3.png,False
66,produced,388,679,613,731,question-flytrap-3.png,False
67,by,635,679,689,731,question-flytrap-3.png,False
68,the,707,679,782,720,question-flytrap-3.png,False
69,first,799,679,887,720,question-flytrap-3.png,False
70,trigger.,904,679,1069,731,question-flytrap-3.png,False
71,the,200,879,275,920,question-flytrap-3.png,False
72,first,293,879,381,920,question-flytrap-3.png,False
73,trigger.,398,879,562,931,question-flytrap-3.png,False
74,concentration,202,1213,530,1254,question-flytrap-3.png,False
75,released,552,1213,758,1254,question-flytrap-3.png,False
76,by,781,1213,834,1265,question-flytrap-3.png,False
77,the,852,1213,927,1254,question-flytrap-3.png,False
78,first,944,1213,1032,1254,question-flytrap-3.png,False
79,trigger.,1049,1213,1214,1265,question-flytrap-3.png,False
80,be,204,413,264,454,question-flytrap-3.png,False
81,touched,281,413,493,454,question-flytrap-3.png,False
82,within,512,413,669,453,question-flytrap-3.png,False
83,a,690,422,718,454,question-flytrap-3.png,False
84,short,736,413,872,454,question-flytrap-3.png,False
85,amount,890,415,1088,454,question-flytrap-3.png,False
86,of,1106,413,1156,454,question-flytrap-3.png,False
87,time,1173,413,1285,454,question-flytrap-3.png,False
88,in,1306,413,1348,453,question-flytrap-3.png,False
89,order,1369,413,1508,454,question-flytrap-3.png,False
90,for,1525,413,1597,454,question-flytrap-3.png,False
91,its,1618,413,1676,454,question-flytrap-3.png,False
92,trap,1695,415,1798,465,question-flytrap-3.png,False
93,to,1815,415,1865,454,question-flytrap-3.png,False
94,close?,202,479,373,520,question-flytrap-3.png,False
