word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,412,438,456,question-dickens-4.png,True
2,4.,457,414,498,453,question-dickens-4.png,True
3,The,519,413,616,454,question-dickens-4.png,True
4,narrator,636,415,845,454,question-dickens-4.png,True
5,indicates,865,413,1100,454,question-dickens-4.png,True
6,that,1118,413,1218,454,question-dickens-4.png,True
7,he,1238,413,1298,454,question-dickens-4.png,True
8,pays,1318,422,1439,465,question-dickens-4.png,True
9,Sempere,1458,412,1690,465,question-dickens-4.png,True
10,1),202,679,246,730,question-dickens-4.png,False
11,less,268,679,457,731,question-dickens-4.png,False
12,than,481,679,686,720,question-dickens-4.png,False
13,Sempere,705,678,927,731,question-dickens-4.png,False
14,expects,945,679,1073,720,question-dickens-4.png,False
15,him,1089,679,1193,720,question-dickens-4.png,False
16,to,1213,679,1279,720,question-dickens-4.png,False
17,pay,1299,688,1469,731,question-dickens-4.png,False
18,for,201,813,246,864,question-dickens-4.png,False
19,the,265,813,340,854,question-dickens-4.png,False
20,books.,360,822,522,865,question-dickens-4.png,False
21,2),543,813,600,854,question-dickens-4.png,False
22,"nothing,",620,813,779,854,question-dickens-4.png,False
23,because,798,813,950,865,question-dickens-4.png,False
24,Sempere,971,815,1140,854,question-dickens-4.png,False
25,won’t,1157,815,1202,854,question-dickens-4.png,False
26,take,1219,813,1294,854,question-dickens-4.png,False
27,his,1314,813,1437,854,question-dickens-4.png,False
28,money.,1456,813,1658,854,question-dickens-4.png,False
29,3),201,946,246,997,question-dickens-4.png,False
30,the,268,946,397,987,question-dickens-4.png,False
31,money,419,946,513,987,question-dickens-4.png,False
32,he,530,946,594,987,question-dickens-4.png,False
33,makes,611,946,686,987,question-dickens-4.png,False
34,selling,706,946,850,987,question-dickens-4.png,False
35,sweets,867,946,971,987,question-dickens-4.png,False
36,to,991,946,1094,998,question-dickens-4.png,False
37,the,1113,955,1189,987,question-dickens-4.png,False
38,other,1208,946,1353,987,question-dickens-4.png,False
39,children.,205,546,246,597,question-dickens-4.png,False
40,4),268,546,362,587,question-dickens-4.png,False
41,much,379,546,483,587,question-dickens-4.png,False
42,less,505,545,726,598,question-dickens-4.png,False
43,for,745,548,933,598,question-dickens-4.png,False
44,the,953,546,1036,586,question-dickens-4.png,False
45,books,1055,548,1100,587,question-dickens-4.png,False
46,than,1120,555,1205,598,question-dickens-4.png,False
47,they,1222,546,1285,587,question-dickens-4.png,False
48,are,1302,546,1378,587,question-dickens-4.png,False
49,worth.,1398,546,1553,587,question-dickens-4.png,False
