word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	seeds,	44	99	100	119
5	or	109	105	129	116
6	sweets,	136	102	203	119
7	but	211	99	243	116
8	I	254	100	257	116
9	would	263	99	325	116
10	keep	332	99	377	122
11	them	384	99	433	116
12	in	440	105	458	116
13	a	465	105	474	116
14	coffee	482	99	540	116
15	tin	547	102	573	116
16	under	579	99	636	116
17	the	642	99	672	116
18	bed,	679	99	720	119
19	and	728	99	763	116
20	when	770	99	823	116
21	I’d	829	99	857	116
22	collected	44	156	133	174
23	four	140	156	180	174
24	or	187	163	207	174
25	five	214	156	247	174
26	reales	255	157	310	174
27	I'd	318	156	345	174
28	secretly	352	156	427	179
29	rush	434	157	476	174
30	out	483	159	514	174
31	to	521	159	540	174
32	buy	547	156	583	179
33	myself	590	156	657	179
34	a	661	163	670	174
35	book.	677	156	730	174
36	My	108	215	141	237
37	favorite	148	214	220	231
38	place	228	214	279	237
39	in	287	220	305	231
40	the	312	214	341	231
41	whole	348	214	407	231
42	city	415	214	450	237
43	was	457	220	493	231
44	the	500	214	530	231
45	Sempere	539	215	621	237
46	&	629	215	646	231
47	Sons	655	215	700	231
48	bookshop	707	214	802	237
49	on	810	220	834	231
50	Calle	44	272	95	289
51	Santa	103	272	156	289
52	Ana.	163	273	207	289
53	It	216	272	230	289
54	smelled	237	272	312	289
55	of	319	272	341	289
56	old	345	272	377	289
57	paper	383	278	438	294
58	and	445	272	480	289
59	dust	487	272	528	289
60	and	535	272	570	289
61	it	577	275	590	289
62	was	596	278	632	289
63	my	639	278	669	294
64	sanctuary,	676	274	773	294
65	my	781	278	811	294
66	refuge.	43	329	103	352
67	The	117	329	153	346
68	bookseller	160	329	263	346
69	would	269	329	331	346
70	let	338	329	362	346
71	me	369	335	397	346
72	sit	405	332	425	346
73	on	433	335	458	346
74	a	465	335	474	346
75	chair	482	329	530	346
76	in	537	335	555	346
77	a	562	335	571	346
78	corner	579	335	641	346
79	and	648	329	683	346
80	read	690	329	732	346
81	any	739	335	773	352
82	book	780	329	829	346
83	I	836	330	843	346
84	liked	44	387	92	404
85	to	98	390	117	404
86	my	124	393	154	409
87	heart’s	160	387	226	404
88	content.	234	389	310	404
89	He	319	388	346	404
90	hardly	354	387	416	409
91	ever	423	393	463	404
92	allowed	470	387	548	404
93	me	554	393	582	404
94	to	589	390	608	404
95	pay	615	393	650	409
96	for	657	387	684	404
97	the	691	387	720	404
98	books	728	387	785	404
99	he	792	387	815	404
100	placed	43	444	108	467
101	in	115	444	133	462
102	my	140	451	169	467
103	hands,	175	444	238	464
104	but	246	444	278	462
105	when	284	444	337	462
106	he	344	444	366	462
107	wasn’t	373	445	438	462
108	looking	445	444	518	467
109	I'd	524	444	552	462
110	leave	559	444	608	462
111	the	616	444	645	462
112	coins	653	444	702	462
113	I’d	710	444	737	462
114	managed	744	444	830	467
115	to	837	447	855	462
116	collect	44	502	109	519
117	on	117	508	141	519
118	the	148	502	177	519
119	counter	185	505	259	519
120	before	265	502	327	519
121	I	334	503	341	519
122	left.	348	502	383	519
123	It	392	503	405	519
124	was	413	508	449	519
125	only	457	502	500	525
126	small	507	502	558	519
127	change—if	566	502	705	525
128	I'd	711	502	747	519
129	had	754	505	773	519
130	to	780	502	816	525
131	buy	824	508	833	519
132	a	43	559	93	577
133	book	99	559	142	577
134	with	149	559	186	577
135	that	193	559	275	582
136	pittance,	287	560	290	577
137	I	297	559	359	577
138	would	365	559	453	582
139	probably	460	559	504	577
140	have	511	559	558	577
141	been	565	559	604	577
142	able	612	562	631	577
143	to	638	559	696	577
144	afford	703	559	746	582
145	only	754	566	762	577
146	a	770	559	844	577
147	booklet	33	648	116	665
148	Previous	123	654	167	670
149	page	762	644	815	680
150	Next	817	653	862	669
151	page	0	0	0	0
