word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	work	43	99	93	116
5	and	100	99	135	116
6	that	141	99	179	116
7	I'd	185	99	213	116
8	better	220	99	276	116
9	get	282	102	311	122
10	rid	317	99	344	116
11	of	352	99	373	116
12	all	378	99	401	116
13	my	408	105	438	122
14	scatterbrained	445	99	582	116
15	ideas	589	99	637	116
16	if	645	99	660	116
17	I	664	100	671	116
18	didn’t	678	99	736	116
19	want	743	102	789	116
20	to	797	102	816	116
21	end	824	99	859	116
22	up	43	163	68	179
23	a	75	163	84	174
24	loser,	93	156	144	177
25	a	153	163	162	174
26	nobody.	169	156	247	179
27	I	256	157	263	174
28	used	270	156	315	174
29	to	321	159	340	174
30	hide	347	156	389	174
31	my	396	163	425	179
32	books	432	156	489	174
33	under	496	156	553	174
34	the	560	156	589	174
35	mattress	596	159	675	174
36	and	683	157	719	174
37	wait	725	156	766	174
38	for	773	156	800	174
39	him	807	156	843	174
40	to	44	217	62	231
41	go	69	220	92	237
42	out	100	217	130	231
43	or	138	220	158	231
44	fall	166	214	196	231
45	asleep	204	214	264	237
46	so	271	220	291	231
47	that	299	214	335	231
48	I	347	215	350	231
49	could	357	214	412	231
50	read.	418	214	464	231
51	Once	474	215	523	231
52	he	531	214	553	231
53	caught	561	214	625	237
54	me	631	220	659	231
55	reading	666	214	738	237
56	at	745	217	762	231
57	night	769	214	817	237
58	and	825	214	860	231
59	flew	44	272	85	289
60	into	93	274	130	289
61	a	137	278	147	289
62	rage.	154	278	198	294
63	He	207	272	234	289
64	tore	241	274	279	289
65	the	286	272	316	289
66	book	323	272	372	289
67	from	379	272	425	289
68	my	431	278	460	294
69	hands	467	272	523	289
70	and	531	272	566	289
71	flung	574	272	623	294
72	it	630	275	643	289
73	out	650	274	681	289
74	of	689	272	744	289
75	the	751	272	833	289
76	window.	109	329	147	346
77	“If	154	329	205	346
78	I	211	335	248	352
79	catch	255	329	328	352
80	you	335	329	431	352
81	wasting	439	329	494	352
82	electricity	502	329	574	352
83	again,	581	329	604	346
84	reading	612	329	646	346
85	all	653	335	747	349
86	this	755	329	814	352
87	nonsense,	821	329	844	346
88	you'll	44	388	109	409
89	be	108	445	141	467
90	sorry.”	149	444	204	462
91	My	211	451	247	462
92	father	254	447	286	462
93	was	293	451	302	462
94	not	310	444	361	462
95	a	369	444	408	465
96	miser	417	444	485	467
97	and,	492	444	522	462
98	despite	529	444	622	467
99	the	629	451	656	462
100	hardships	664	444	746	464
101	we	754	444	847	462
102	suffered,	43	502	66	519
103	whenever	74	502	128	519
104	he	135	502	157	519
105	could	165	508	207	525
106	he	214	508	242	519
107	gave	250	508	259	519
108	me	267	502	301	519
109	a	308	508	358	519
110	few	366	508	386	519
111	coins	393	502	430	519
112	so	442	503	444	519
113	that	451	502	506	519
114	I	513	502	549	525
115	could	556	502	622	525
116	buy	627	508	675	519
117	myself	683	505	735	519
118	some	743	502	777	519
119	treats	784	502	814	519
120	like	44	559	94	577
121	the	102	559	185	577
122	other	199	560	221	577
123	children.	228	566	264	577
124	He	272	559	371	577
125	was	378	559	415	577
126	convinced	422	560	429	577
127	that	436	562	487	582
128	I	494	559	542	577
129	spent	549	566	574	577
130	them	581	559	652	577
131	on	660	559	718	579
132	licorice	727	559	823	577
133	sticks,	33	648	116	665
134	sunflower	123	654	167	670
135	Previous	762	648	811	678
136	page	817	653	862	669
137	Next	0	0	0	0
138	page	0	0	0	0
