word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	(this	44	99	86	120
5	coupling	93	99	178	122
6	of	185	99	207	116
7	action	211	99	271	116
8	potentials	277	99	372	122
9	and	380	99	415	116
10	the	422	99	452	116
11	opening	459	99	537	122
12	of	544	99	566	116
13	calcium	570	99	646	116
14	channels	653	99	721	116
15	is	746	99	759	116
16	similar	767	99	832	116
17	to	838	102	857	116
18	the	43	156	73	174
19	processes	80	163	172	179
20	that	179	157	217	174
21	occur	224	163	278	174
22	during	285	156	347	179
23	communication	354	159	504	174
24	between	511	156	593	174
25	human	599	156	665	174
26	neurons),	672	157	763	178
27	thus	771	156	811	174
28	causing	44	214	116	237
29	a	123	220	132	231
30	rapid	139	214	190	237
31	increase	197	214	274	231
32	in	282	214	300	231
33	the	307	214	336	231
34	concentration	344	217	478	231
35	of	486	214	507	231
36	calcium	512	214	587	231
37	ions.	595	214	638	231
38	They	109	272	157	294
39	proposed	164	272	254	294
40	that	261	272	298	289
41	the	305	272	335	289
42	trap	342	275	380	294
43	requires	387	278	464	294
44	a	472	278	481	289
45	relatively	488	272	579	294
46	high	585	272	628	294
47	concentration	635	274	769	289
48	of	776	272	798	289
49	calcium	44	329	119	346
50	in	127	335	145	346
51	order	152	329	203	346
52	to	210	332	229	346
53	close	236	329	285	346
54	and	293	329	328	346
55	that	335	329	371	346
56	a	379	335	388	346
57	single	396	329	452	352
58	action	459	329	519	346
59	potential	525	329	611	352
60	from	620	329	664	346
61	just	669	332	705	352
62	one	713	335	747	346
63	trigger	755	332	817	352
64	hair	823	329	861	346
65	being	43	387	96	409
66	touched	103	387	182	404
67	does	189	387	232	404
68	not	239	389	271	404
69	reach	278	387	331	404
70	this	337	387	372	404
71	level.	380	387	429	404
72	Therefore,	439	387	538	407
73	a	547	393	556	404
74	second	564	387	631	404
75	hair	638	387	675	404
76	needs	682	387	737	404
77	to	744	390	763	404
78	be	770	387	792	404
79	stimulated	44	444	145	462
80	to	151	447	170	462
81	push	177	444	224	467
82	the	231	444	260	462
83	calcium	268	444	343	462
84	concentration	351	444	485	462
85	over	492	451	533	462
86	this	540	444	574	462
87	threshold	581	444	673	462
88	and	681	444	716	462
89	spring	723	451	782	467
90	the	788	444	818	462
91	trap.	43	505	81	525
92	The	95	502	131	519
93	encoding	139	502	228	525
94	of	235	502	256	519
95	the	260	502	290	519
96	information	298	502	411	519
97	requires	417	502	495	525
98	maintaining	502	502	616	525
99	a	623	508	632	519
100	high	639	502	682	525
101	enough	689	502	760	525
102	level	767	502	812	519
103	of	820	502	842	519
104	calcium	44	559	120	577
105	so	127	566	147	577
106	that	154	559	191	577
107	a	199	566	208	577
108	second	216	559	283	577
109	increase	291	559	368	577
110	(triggered	376	560	468	582
111	by	475	559	499	582
112	touching	506	559	591	582
113	the	597	559	627	577
114	second	635	559	702	577
115	hair)	709	559	754	581
116	pushes	761	559	827	582
117	Previous	33	648	116	665
118	page	123	654	167	670
119	Next	764	648	811	664
120	page	817	653	862	675
