word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,412,438,456,question-genome-4.png,True
2,4.,457,414,498,453,question-genome-4.png,True
3,According,516,413,788,465,question-genome-4.png,True
4,to,807,415,857,454,question-genome-4.png,True
5,the,875,413,956,454,question-genome-4.png,True
6,"passage,",977,422,1206,465,question-genome-4.png,True
7,which,1226,413,1380,454,question-genome-4.png,True
8,of,1401,413,1451,454,question-genome-4.png,True
9,the,1468,413,1549,454,question-genome-4.png,True
10,following,1566,413,1806,465,question-genome-4.png,True
11,is,1829,413,1869,454,question-genome-4.png,True
12,true,205,613,246,664,question-genome-4.png,True
13,of,271,613,294,653,question-genome-4.png,True
14,antithrombin?,314,613,507,654,question-genome-4.png,True
15,It,526,613,810,665,question-genome-4.png,False
16,reduces,827,613,918,654,question-genome-4.png,False
17,compounds,938,613,1036,654,question-genome-4.png,False
18,that,1055,615,1100,654,question-genome-4.png,False
19,lead,1120,613,1249,654,question-genome-4.png,False
20,to,1271,613,1393,654,question-genome-4.png,False
21,blood,201,1013,246,1064,question-genome-4.png,False
22,clots.,271,1013,294,1053,question-genome-4.png,False
23,2),313,1022,473,1054,question-genome-4.png,False
24,It,493,1013,698,1065,question-genome-4.png,False
25,stems,719,1013,755,1053,question-genome-4.png,False
26,from,775,1013,920,1065,question-genome-4.png,False
27,a,939,1022,1181,1065,question-genome-4.png,False
28,genetic,1199,1013,1372,1065,question-genome-4.png,False
29,mutation,201,481,304,520,question-genome-4.png,False
30,that,322,479,372,520,question-genome-4.png,False
31,is,390,479,759,520,question-genome-4.png,False
32,rare,202,746,246,797,question-genome-4.png,False
33,in,271,746,294,786,question-genome-4.png,False
34,humans.,313,748,458,787,question-genome-4.png,False
35,3),475,746,582,787,question-genome-4.png,False
36,It,603,755,630,787,question-genome-4.png,False
37,is,649,746,826,798,question-genome-4.png,False
38,a,845,746,1051,787,question-genome-4.png,False
39,sequence,1071,746,1162,787,question-genome-4.png,False
40,of,1182,746,1217,787,question-genome-4.png,False
41,DNA,1237,755,1331,787,question-genome-4.png,False
42,known,1352,746,1388,786,question-genome-4.png,False
43,as,1410,746,1615,787,question-genome-4.png,False
44,a,201,879,246,930,question-genome-4.png,False
45,promoter.,271,879,294,919,question-genome-4.png,False
46,4),314,879,349,920,question-genome-4.png,False
47,It,390,888,396,920,question-genome-4.png,False
48,occurs,415,888,652,931,question-genome-4.png,False
49,naturally,671,879,714,920,question-genome-4.png,False
50,in,735,879,846,919,question-genome-4.png,False
51,goats’,865,879,1018,920,question-genome-4.png,False
52,mammary,1039,888,1094,920,question-genome-4.png,False
53,glands.,1113,888,1140,920,question-genome-4.png,False
