word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	clot-forming	44	99	165	122
5	compounds	172	99	283	122
6	and	291	99	326	116
7	escorting	334	99	421	122
8	them	427	99	476	116
9	out	483	102	513	116
10	of	521	99	577	116
11	the	584	99	709	116
12	bloodstream.	718	100	753	116
13	But	761	105	779	116
14	as	786	105	839	122
15	many	846	105	864	116
16	as	45	157	51	174
17	1	63	163	81	174
18	in	88	157	143	176
19	2,000	151	157	253	174
20	Americans	261	163	289	174
21	are	296	156	342	174
22	born	348	156	391	174
23	with	398	163	407	174
24	a	415	159	483	179
25	genetic	490	159	577	174
26	mutation	584	156	621	174
27	that	628	159	709	179
28	prevents	716	159	725	174
29	them	729	163	764	174
30	from	772	156	816	174
31	making	43	214	113	237
32	antithrombin.	120	214	250	231
33	These	260	214	316	231
34	patients	323	214	398	237
35	are	406	220	434	231
36	prone	442	220	497	237
37	to	505	217	524	231
38	clots,	531	214	582	235
39	especially	591	214	687	237
40	in	694	214	712	231
41	their	719	217	725	231
42	legs	732	214	764	231
43	and	771	214	807	237
44	lungs,	815	214	850	231
45	and	44	272	100	294
46	they	109	272	144	289
47	are	150	272	192	294
48	at	200	278	228	289
49	elevated	236	274	252	289
50	risk	260	272	340	289
51	of	346	272	381	289
52	suffering	388	272	410	289
53	from	414	272	498	294
54	fatal	505	272	550	289
55	complications	558	272	599	289
56	during	607	272	742	294
57	surgery	750	272	812	294
58	and	44	335	114	352
59	childbirth.	121	329	156	346
60	Supplemental	164	329	259	346
61	antithrombin	273	329	406	352
62	can	414	329	540	346
63	reduce	548	335	581	346
64	this	587	329	652	346
65	risk,	660	329	693	346
66	and	701	329	740	349
67	GTC	749	329	784	346
68	decided	791	330	837	346
69	to	44	387	120	404
70	try	126	390	145	404
71	to	152	390	179	409
72	manufacture	185	389	204	404
73	the	211	387	332	404
74	compound	339	387	369	404
75	using	377	387	480	409
76	genetically	487	387	538	409
77	engineered	544	387	650	409
78	goats.	657	387	763	409
79	To	769	390	823	409
80	create	109	445	134	462
81	its	142	447	199	462
82	special	207	447	228	462
83	herd	235	444	301	467
84	of	309	444	352	462
85	goats,	360	444	381	462
86	GTC	385	447	440	467
87	used	449	445	495	462
88	microinjection,	502	444	547	462
89	the	553	444	699	467
90	same	707	444	726	462
91	technique	727	451	737	462
92	that	745	451	791	462
93	produced	43	502	139	525
94	GloFish	146	502	182	519
95	and	190	502	282	525
96	AquAdvantage	289	502	367	519
97	salmon.	374	502	409	519
98	The	416	502	560	525
99	company’s	568	502	641	519
100	scientists	651	502	687	519
101	took	695	503	800	525
102	the	44	562	130	577
103	gene	138	559	182	577
104	for	188	562	218	577
105	human	225	566	269	582
106	antithrombin	277	559	304	577
107	and	310	559	377	577
108	injected	384	559	510	577
109	it	517	559	552	577
110	directly	559	559	636	582
111	into	643	562	655	577
112	Previous	663	559	736	582
113	page	744	562	781	577
114	Next	33	648	116	665
115	page	123	654	167	670
