word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,345,438,389,question-dickens-1.png,True
2,1.,460,347,498,386,question-dickens-1.png,True
3,Over,521,345,644,387,question-dickens-1.png,True
4,the,661,346,742,387,question-dickens-1.png,True
5,course,761,355,940,387,question-dickens-1.png,True
6,of,958,346,1008,387,question-dickens-1.png,True
7,the,1025,346,1107,387,question-dickens-1.png,True
8,"passage,",1127,355,1356,398,question-dickens-1.png,True
9,the,1377,346,1459,387,question-dickens-1.png,True
10,main,1479,346,1602,387,question-dickens-1.png,True
11,focus,1621,346,1766,387,question-dickens-1.png,True
12,shifts,1786,346,1930,387,question-dickens-1.png,True
13,from,205,546,246,597,question-dickens-1.png,True
14,a,266,546,446,598,question-dickens-1.png,True
15,1),467,546,721,587,question-dickens-1.png,False
16,general,742,546,785,587,question-dickens-1.png,False
17,discussion,802,546,878,587,question-dickens-1.png,False
18,of,898,546,1129,587,question-dickens-1.png,False
19,the,1149,546,1246,587,question-dickens-1.png,False
20,narrator’s,1265,546,1308,587,question-dickens-1.png,False
21,love,1328,546,1507,598,question-dickens-1.png,False
22,of,1526,548,1570,587,question-dickens-1.png,False
23,reading,1590,555,1617,587,question-dickens-1.png,False
24,to,1637,546,1846,598,question-dickens-1.png,False
25,a,1868,546,1911,587,question-dickens-1.png,False
26,portrayal,202,746,246,797,question-dickens-1.png,False
27,of,266,746,483,798,question-dickens-1.png,False
28,an,505,746,548,787,question-dickens-1.png,False
29,influential,564,746,640,787,question-dickens-1.png,False
30,incident,660,746,891,787,question-dickens-1.png,False
31,2),908,746,1049,787,question-dickens-1.png,False
32,depiction,1066,748,1110,787,question-dickens-1.png,False
33,of,1130,755,1185,787,question-dickens-1.png,False
34,the,1207,746,1500,787,question-dickens-1.png,False
35,narrator’s,1522,746,1565,787,question-dickens-1.png,False
36,father,1584,755,1639,787,question-dickens-1.png,False
37,to,1661,746,1815,787,question-dickens-1.png,False
38,an,1833,746,1927,786,question-dickens-1.png,False
39,examination,201,946,246,997,question-dickens-1.png,False
40,of,267,946,480,998,question-dickens-1.png,False
41,an,499,946,848,998,question-dickens-1.png,False
42,author,869,946,912,987,question-dickens-1.png,False
43,with,931,955,958,987,question-dickens-1.png,False
44,whom,977,946,1063,987,question-dickens-1.png,False
45,the,1083,946,1158,987,question-dickens-1.png,False
46,narrator,1179,948,1369,987,question-dickens-1.png,False
47,becomes,1389,955,1646,998,question-dickens-1.png,False
48,enchanted.,1664,948,1708,987,question-dickens-1.png,False
49,3),1727,955,1783,987,question-dickens-1.png,False
50,symbolic,201,1146,246,1197,question-dickens-1.png,False
51,representation,265,1146,353,1187,question-dickens-1.png,False
52,of,372,1146,507,1187,question-dickens-1.png,False
53,a,524,1146,600,1187,question-dickens-1.png,False
54,skill,620,1146,856,1198,question-dickens-1.png,False
55,the,875,1146,918,1187,question-dickens-1.png,False
56,narrator,935,1146,1010,1187,question-dickens-1.png,False
57,possesses,1031,1146,1262,1187,question-dickens-1.png,False
58,to,1281,1146,1513,1187,question-dickens-1.png,False
59,an,1532,1148,1577,1187,question-dickens-1.png,False
60,example,1596,1155,1652,1187,question-dickens-1.png,False
61,of,1673,1146,1870,1198,question-dickens-1.png,False
62,its,1889,1146,1932,1187,question-dickens-1.png,False
63,application.,201,413,369,454,question-dickens-1.png,False
64,4),202,622,258,654,question-dickens-1.png,False
65,tale,280,613,508,654,question-dickens-1.png,False
66,about,530,613,717,654,question-dickens-1.png,False
67,the,201,813,344,854,question-dickens-1.png,False
68,hardships,364,813,439,854,question-dickens-1.png,False
69,of,459,815,649,854,question-dickens-1.png,False
70,the,669,813,890,854,question-dickens-1.png,False
71,narrator’s,909,813,1177,854,question-dickens-1.png,False
72,childhood,202,1013,408,1065,question-dickens-1.png,False
73,to,427,1013,470,1054,question-dickens-1.png,False
74,an,490,1013,541,1054,question-dickens-1.png,False
75,analysis,560,1013,834,1065,question-dickens-1.png,False
76,of,200,1213,275,1254,question-dickens-1.png,False
77,the,295,1213,454,1254,question-dickens-1.png,False
78,effects,473,1213,516,1254,question-dickens-1.png,False
79,of,533,1213,667,1254,question-dickens-1.png,False
80,those,687,1213,935,1265,question-dickens-1.png,False
