unique_paragraph_id,participant_id,unique_trial_id,RC,difficulty,regime
dickens,msd003,msd003_dickens_1,0,1.0,train_train
dickens,msd003,msd003_dickens_2,0,1.0,train_train
dickens,msd003,msd003_dickens_3,1,1.0,train_train
dickens,msd003,msd003_dickens_4,1,1.0,train_train
dickens,msd003,msd003_dickens_5,1,1.0,train_train
dickens,msd007,msd007_dickens_1,1,1.0,train_train
dickens,msd007,msd007_dickens_2,1,1.0,train_train
dickens,msd007,msd007_dickens_3,1,1.0,train_train
dickens,msd007,msd007_dickens_4,1,1.0,train_train
dickens,msd007,msd007_dickens_5,1,1.0,train_train
dickens,msd010,msd010_dickens_1,1,1.0,train_train
dickens,msd010,msd010_dickens_2,0,1.0,train_train
dickens,msd010,msd010_dickens_3,0,1.0,train_train
dickens,msd010,msd010_dickens_4,0,1.0,train_train
dickens,msd010,msd010_dickens_5,1,1.0,train_train
dickens,msd011,msd011_dickens_1,1,0.0,train_train
dickens,msd011,msd011_dickens_2,1,0.0,train_train
dickens,msd011,msd011_dickens_3,1,0.0,train_train
dickens,msd011,msd011_dickens_4,1,0.0,train_train
dickens,msd011,msd011_dickens_5,0,0.0,train_train
dickens,msd012,msd012_dickens_1,1,0.0,train_train
dickens,msd012,msd012_dickens_2,1,0.0,train_train
dickens,msd012,msd012_dickens_3,0,0.0,train_train
dickens,msd012,msd012_dickens_4,1,0.0,train_train
dickens,msd012,msd012_dickens_5,0,0.0,train_train
dickens,msd015,msd015_dickens_1,1,1.0,train_train
dickens,msd015,msd015_dickens_2,0,1.0,train_train
dickens,msd015,msd015_dickens_3,1,1.0,train_train
dickens,msd015,msd015_dickens_4,0,1.0,train_train
dickens,msd015,msd015_dickens_5,0,1.0,train_train
dickens,msd017,msd017_dickens_1,0,1.0,train_train
dickens,msd017,msd017_dickens_2,1,1.0,train_train
dickens,msd017,msd017_dickens_3,1,1.0,train_train
dickens,msd017,msd017_dickens_4,1,1.0,train_train
dickens,msd017,msd017_dickens_5,0,1.0,train_train
dickens,msd020,msd020_dickens_1,1,1.0,train_train
dickens,msd020,msd020_dickens_2,1,1.0,train_train
dickens,msd020,msd020_dickens_3,0,1.0,train_train
dickens,msd020,msd020_dickens_4,1,1.0,train_train
dickens,msd020,msd020_dickens_5,0,1.0,train_train
dickens,msd021,msd021_dickens_1,1,0.0,train_train
dickens,msd021,msd021_dickens_2,1,0.0,train_train
dickens,msd021,msd021_dickens_3,1,0.0,train_train
